num_stim,match,zero_back_outer_loop.thisRepN,zero_back_outer_loop.thisTrialN,zero_back_outer_loop.thisN,zero_back_outer_loop.thisIndex,zero_back_loop.thisRepN,zero_back_loop.thisTrialN,zero_back_loop.thisN,zero_back_loop.thisIndex,one_back_outer_loop.thisRepN,one_back_outer_loop.thisTrialN,one_back_outer_loop.thisN,one_back_outer_loop.thisIndex,one_back_loop.thisRepN,one_back_loop.thisTrialN,one_back_loop.thisN,one_back_loop.thisIndex,two_back_outer_loop.thisRepN,two_back_outer_loop.thisTrialN,two_back_outer_loop.thisN,two_back_outer_loop.thisIndex,two_back_loop.thisRepN,two_back_loop.thisTrialN,two_back_loop.thisN,two_back_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,zero_back_prompt_text.started,zero_back_prompt_text.stopped,zero_back_num_stim.started,zero_back_num_stim.stopped,zero_back_resp.keys,zero_back_resp.corr,zero_back_resp.started,zero_back_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,one_back_prompt_text.started,one_back_prompt_text.stopped,one_back_num_stim.started,one_back_num_stim.stopped,one_back_resp.keys,one_back_resp.corr,one_back_resp.started,one_back_resp.stopped,two_back_prompt_text.started,two_back_prompt_text.stopped,two_back_num_stim.started,two_back_num_stim.stopped,two_back_resp.keys,two_back_resp.corr,two_back_resp.started,two_back_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,None,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,154.85027369999443,None,None,1,154.85027369999443,None,155.35721809999086,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
4,None,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,157.84971859998768,None,None,1,157.84971859998768,None,158.34370040000067,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
8,None,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,160.8491482999816,None,None,1,160.8491482999816,None,161.34305809999933,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,163.84851229999913,None,None,0,163.84851229999913,None,164.3485257999855,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,166.8479772999999,None,None,0,166.8479772999999,None,167.3418188999931,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
3,None,2,0,2,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,169.8474797999952,None,None,1,169.8474797999952,None,170.3550646000076,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],2,0,2,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,172.84676849999232,None,None,0,172.84676849999232,None,173.35453159999452,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
4,None,2,0,2,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,175.8530388000072,None,None,1,175.8530388000072,None,176.34707889999845,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
2,None,2,0,2,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,178.85257089999504,None,None,1,178.85257089999504,None,179.35253360000206,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
7,None,2,0,2,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,181.85203809998347,None,None,1,181.85203809998347,None,182.3518165999849,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
